10503030;REAÄÂES ESPEC÷FICAS E FENOMIOLOGIA DE PART÷CULAS
10503048;PROPRIEDADES DE PART÷CULAS ESPEC÷FICAS E RESSON∂NCIAS
10504001;F÷SICA NUCLEAR
10504010;ESTRUTURA NUCLEAR
10504028;DESINTEGRAÄ«O NUCLEAR E RADIOATIVIDADE
10504036;REAÄÂES NUCLEARES E ESPALHAMENTO GERAL
10504044;REAÄÂES NUCLEARES E ESPALHAMENTO (REAÄÂES ESPEC÷FICAS)
10504052;PROPRIEDADES DE NÈCLEOS ESPEC÷FICOS
10504060;MET.EXPER.E INSTRUMENT.PARA PART.ELEMENT.E F÷SICA NUCLEAR
10505008;F÷SICA AT‚MICA E MOLECULAR
10505016;"ESTRUTURA ELETR‚NICA DE µTOMOS E MOLêCULAS; TEORIA"
10505024;ESPECTROS AT‚MICOS E INTEGRAÄ«O DE F‡TONS
10505032;ESPECTROS MOLECUL. E INTERAÄÂES DE F‡TONS COM MOLêCULAS
10505040;PROCESSOS DE COLIS«O E INTERAÄÂES DE µTOMOS E MOLêCULAS
10505059;"INF.SOB.ATOM.E MOL.OBIT.EXPERIMENTALMENTE; INST.E TêCNICAS"
10505067;ESTUDOS DE µTOMOS E MOLêCULAS ESPECIAIS
10506004;F÷SICA DOS FLÈIDOS, F÷SICA DE PLASMAS E DESCARGAS ELêTRICAS
10506012;"CINêTICA E TEOR.DE TRANSP.DE FLÈIDOS; PROPRIED.FIS.DE GASES"
10506020;F÷SICA DE PLASMAS E DESCARGAS ELêTRICAS
10507000;F÷SICA DA MATêRIA CONDENSADA
10507019;"ESTRUTURA DE L÷QUIDOS E S‡LIDOS; CRISTALOGRAFIA"
10507027;PROPRIEDADES MEC∂NICAS E ACÈSTICAS DA MATêRIA CONDENSADA
10507035;DIN∂MICA DA REDE E ESTAT÷STICA DE CRISTAIS
10507043;EQUAÄ«O DE ESTADO, EQUILIB. DE FASES E TRANSIÄÂES DE FASES
10507051;PROPRIEDADES TêRMICAS DA MATêRIA CONDENSADA
10507060;PROPRIEDADES DE TRANSP.DE MATêRIA COND. (N«O ELETR‚NICAS)
10507078;CAMPOS QU∂NTICOS E S‡LIDOS, HêLIO, L÷QUIDO, S‡LIDO
10507086;"SUPERF÷CIES E INTERFACES; PEL÷CULAS E FILAMENTOS"
10507094;ESTADOS ELETR‚NICOS
10507108;"TRANSP.ELETR.E PROPR.ELET.DE SUPERF÷CIES; INTERF.E PEL÷CULAS"
10507116;"ESTRUT.ELETR.E PROPR.ELET.DE SUPERF÷CIES; INTERF.E PEL÷CULAS"
10507124;SUPERCONDUTIVIDADE
10507132;MATERIAIS MAGNêTICOS E PROPRIEDADES MAGNêTICAS
10507140;"RESS.MAGN. REL.MAT.COND.; EFEIT.MOSBAUER; CORR.ANG.PERTUBADA"
10507159;MATERIAIS DIELêTRICOS E PROPRIEDADES DIELêTRICAS
10507167;"PROP.OTIC.E ESPEC.MATR.COND.; OUTRAS INTER.MAT.COM RAD.PART."
10507175;"EMISS«O ELETRON.E I‚NICA POR LIQ.E S‡LIDOS; FENOM.DE IMPACTO"
;
;
;
;µREA DE AVALIAÄ«O: QU÷MICA
;
;
10600000;QU÷MICA
10601007;QU÷MICA ORG∂NICA
10601015;ESTRUTURA, CONFORMAÄ«O E ESTEREOQU÷MICA
10601023;S÷NTESE ORG∂NICA
10601031;F÷SICO-QU÷MICA ORG∂NICA
