103;10503013;TEORIA GERAL DE PARTÍCULAS E CAMPOS
104;10503021;TEOR.ESP.E MOD.DE INTERAÇÃO SIST.DE PARTÍCULAS R.CÓSMICOS
105;10503030;REAÇÕES ESPECÍFICAS E FENOMIOLOGIA DE PARTÍCULAS
106;10503048;PROPRIEDADES DE PARTÍCULAS ESPECÍFICAS E RESSONÂNCIAS
107;10504001;FÍSICA NUCLEAR
108;10504010;ESTRUTURA NUCLEAR
109;10504028;DESINTEGRAÇÃO NUCLEAR E RADIOATIVIDADE
110;10504036;REAÇÕES NUCLEARES E ESPALHAMENTO GERAL
111;10504044;REAÇÕES NUCLEARES E ESPALHAMENTO (REAÇÕES ESPECÍFICAS)
112;10504052;PROPRIEDADES DE NÚCLEOS ESPECÍFICOS
113;10504060;MET.EXPER.E INSTRUMENT.PARA PART.ELEMENT.E FÍSICA NUCLEAR
114;10505008;FÍSICA ATÔMICA E MOLECULAR
115;10505016;ESTRUTURA ELETRÔNICA DE ÁTOMOS E MOLÉCULASTEORIA
116;10505024;ESPECTROS ATÔMICOS E INTEGRAÇÃO DE FÓTONS
117;10505032;ESPECTROS MOLECUL. E INTERAÇÕES DE FÓTONS COM MOLÉCULAS
118;10505040;PROCESSOS DE COLISÃO E INTERAÇÕES DE ÁTOMOS E MOLÉCULAS
119;10505059;INF.SOB.ATOM.E MOL.OBIT.EXPERIMENTALMENTEINST.E TÉCNICAS
120;10505067;ESTUDOS DE ÁTOMOS E MOLÉCULAS ESPECIAIS
121;10506004;FÍSICA DOS FLÚIDOS, FÍSICA DE PLASMAS E DESCARGAS ELÉTRICAS
122;10506012;CINÉTICA E TEOR.DE TRANSP.DE FLÚIDOSPROPRIED.FIS.DE GASES
123;10506020;FÍSICA DE PLASMAS E DESCARGAS ELÉTRICAS
124;10507000;FÍSICA DA MATÉRIA CONDENSADA
125;10507019;ESTRUTURA DE LÍQUIDOS E SÓLIDOSCRISTALOGRAFIA
126;10507027;PROPRIEDADES MECÂNICAS E ACÚSTICAS DA MATÉRIA CONDENSADA
